EMT_ID,STATION
SW-N3,ALSTON BAY UPLAND SURF
SW-QA,BIG GUM LAKE
SJ-LC,Boggy Marsh SJ-LC
SW-QC,BUCK LAKE (HIGHLANDS)
SJ-N2,Chapman Marsh SJ-AI
SJ-QA,Church Lake SJ-QA
SJ-LL,Cocoa 9T
SW-QQ,Crooked Lake nr Babson Park
xSW-LF,Cypress Creek #190 East Marsh
SW-LG,Cypress Creek BIO-5 Surf
SW-LE,CYPRESS CREEK W-17 UPLAND SURF
SW-LH,CYPRESS CREEK W-33 SURF
SW-QD,GATOR LAKE
SW-LM,GREEN SWAMP 1 UPLAND SURF
SW-N2,GREEN SWAMP 4 UPLAND SURF
SW-LJ,GREEN SWAMP 6 UPLAND SURF
SW-AA,GREEN SWAMP 7 WETLAND SURF
SW-N1,GREEN SWAMP BAY UPLAND SURF
SW-LK,Green Swamp 5 Upland Surf
SW-LI,GREEN SWAMP MARSH UPLAND SURF
SJ-LD,Hopkins Prairie SJ-LD
xSJ-LH,Island Lake SJ-LH
SJ-QB,Johns Lake SJ-QB
SW-QE,LAKE ANNIE (HIGHLANDS)
SJ-LF,Lake Apshawa SJ-LF
SW-QF,Lake Apthorpe
SJ-LE,Lake Avalon SJ-LE
SW-QB,Bonnet Lake
SW-JJ,LAKE GARFIELD
SJ-AJ,Lake Gem SJ-AJ
SW-QH,Lake Leonore (Patrick)
SJ-LJ,Lake Louisa SJ-LJ
SW-QI,Lake Placid
SW-QJ,LAKE STREETY
SJ-LI,Lake Sylvan
SW-QK,Lake Van
SW-MM,Lake Wailes
SW-QL,LAKE WALKER
SJ-EV,Long Lake 
SW-N4,NORTHEAST LAKELAND WE-NEL-GG-W SURF
SW-N5,NORTHEAST LAKELAND WE-NEL-J-W SURF
SW-N6,NORTHEAST LAKELAND WE-NEL-K-U SURF
SW-QO,PARKS LAKE
SW-QM,POLECAT LAKE
SW-N9,ROMP 58 SURF AQ MONITOR
SW-N7,POLK COUNTY VF-2MW
xSJ-GA,Prairie Lake
SJ-N1,Red Bug Lake SJ-AW
SW-N8,Saddle Blanket
SF-WT,SPLITOAK
SW-QN,SURVEYORS LAKE
SF-YK,TB2_GW1
SJ-QC,Trout Lake SJ-QC
SJ-LA,Unnamed Cypress SJ-LA
SJ-LB,Unnamed Wetland South of 46
SF-LA,WR11_GW1
SF-N2,WR15_GW1
SF-N1,WR16_GW1
SF-LB,WR6_GW1
SF-XZ,WR9_GW1
