"","Layer","Class","Stress","Phys","Initial","Delta"
"1",1,1,"Stressed","Ridge",1396.26,15.6
"2",1,1,"Stressed","Plain",752.68,12.91
"3",1,2,"Stressed","Ridge",3794.8,214.52
"4",1,2,"Stressed","Plain",1922.2,35.38
"5",1,3,"Stressed","Ridge",14989.4,229.86
"6",1,3,"Stressed","Plain",23189.41,123.37
"7",1,1,"Unstressed","Ridge",4129.99,38.55
"8",1,1,"Unstressed","Plain",441.16,50.26
"9",1,2,"Unstressed","Ridge",8694.36,40.64
"10",1,2,"Unstressed","Plain",1859.69,11.4
"11",1,3,"Unstressed","Ridge",20803.79,706.9
"12",1,3,"Unstressed","Plain",108730.32,2343.56
"13",3,1,"Stressed","Ridge",1396.26,1.22
"14",3,1,"Stressed","Plain",0,0
"15",3,2,"Stressed","Ridge",3794.8,29.34
"16",3,2,"Stressed","Plain",0,0
"17",3,3,"Stressed","Ridge",14989.4,38.85
"18",3,3,"Stressed","Plain",0,0
"19",3,1,"Unstressed","Ridge",4129.99,1664.88
"20",3,1,"Unstressed","Plain",0,0
"21",3,2,"Unstressed","Ridge",8694.36,1337.31
"22",3,2,"Unstressed","Plain",0,0
"23",3,3,"Unstressed","Ridge",20803.79,7086.3
"24",3,3,"Unstressed","Plain",0,0
