"STATION","DateRange","prank","value"
"WR6_GW1","2006-2017","P80",60.54
"WR9_GW1","2006-2017","P80",63.62
"WR11_GW1","2006-2017","P80",63.54
"WR15_GW1","2006-2017","P80",58.89
"WR16_GW1","2006-2017","P80",61.03
"SPLITOAK","2006-2017","P80",65.1
"TB2_GW1","2006-2017","P80",97.82
"WR6_GW1","2007-2017","P80",60.71
"WR9_GW1","2007-2017","P80",63.75
"WR11_GW1","2007-2017","P80",63.814
"WR15_GW1","2007-2017","P80",59.16
"WR16_GW1","2007-2017","P80",61.3
"SPLITOAK","2007-2017","P80",65.1
"TB2_GW1","2007-2017","P80",97.83
"WR6_GW1","2008-2017","P80",60.904
"WR9_GW1","2008-2017","P80",63.91
"WR11_GW1","2008-2017","P80",64.07
"WR15_GW1","2008-2017","P80",59.42
"WR16_GW1","2008-2017","P80",61.56
"SPLITOAK","2008-2017","P80",65.1
"TB2_GW1","2008-2017","P80",97.98
"WR6_GW1","2009-2017","P80",60.76
"WR9_GW1","2009-2017","P80",63.82
"WR11_GW1","2009-2017","P80",64.11
"WR15_GW1","2009-2017","P80",59.57
"WR16_GW1","2009-2017","P80",61.75
"SPLITOAK","2009-2017","P80",65.042
"TB2_GW1","2009-2017","P80",98.01
"WR6_GW1","2010-2017","P80",60.832
"WR9_GW1","2010-2017","P80",63.95
"WR11_GW1","2010-2017","P80",64.242
"WR15_GW1","2010-2017","P80",59.682
"WR16_GW1","2010-2017","P80",61.87
"SPLITOAK","2010-2017","P80",65.18
"TB2_GW1","2010-2017","P80",98.062
"WR6_GW1","2011-2017","P80",60.682
"WR9_GW1","2011-2017","P80",63.782
"WR11_GW1","2011-2017","P80",64.142
"WR15_GW1","2011-2017","P80",59.6
"WR16_GW1","2011-2017","P80",61.76
"SPLITOAK","2011-2017","P80",65.12
"TB2_GW1","2011-2017","P80",98.03
"WR6_GW1","2006-2017","P50",62.07
"WR9_GW1","2006-2017","P50",65.16
"WR11_GW1","2006-2017","P50",65.33
"WR15_GW1","2006-2017","P50",60.86
"WR16_GW1","2006-2017","P50",63.01
"SPLITOAK","2006-2017","P50",66.3531395348837
"TB2_GW1","2006-2017","P50",98.55
"WR6_GW1","2007-2017","P50",62.2
"WR9_GW1","2007-2017","P50",65.28
"WR11_GW1","2007-2017","P50",65.44
"WR15_GW1","2007-2017","P50",61.02
"WR16_GW1","2007-2017","P50",63.19
"SPLITOAK","2007-2017","P50",66.3531395348837
"TB2_GW1","2007-2017","P50",98.57
"WR6_GW1","2008-2017","P50",62.24
"WR9_GW1","2008-2017","P50",65.31
"WR11_GW1","2008-2017","P50",65.49
"WR15_GW1","2008-2017","P50",61.12
"WR16_GW1","2008-2017","P50",63.37
"SPLITOAK","2008-2017","P50",66.3531395348837
"TB2_GW1","2008-2017","P50",98.64
"WR6_GW1","2009-2017","P50",62.29
"WR9_GW1","2009-2017","P50",65.37
"WR11_GW1","2009-2017","P50",65.57
"WR15_GW1","2009-2017","P50",61.24
"WR16_GW1","2009-2017","P50",63.49
"SPLITOAK","2009-2017","P50",66.33
"TB2_GW1","2009-2017","P50",98.7
"WR6_GW1","2010-2017","P50",62.28
"WR9_GW1","2010-2017","P50",65.36
"WR11_GW1","2010-2017","P50",65.55
"WR15_GW1","2010-2017","P50",61.23
"WR16_GW1","2010-2017","P50",63.48
"SPLITOAK","2010-2017","P50",66.52
"TB2_GW1","2010-2017","P50",98.69
"WR6_GW1","2011-2017","P50",62.18
"WR9_GW1","2011-2017","P50",65.27
"WR11_GW1","2011-2017","P50",65.49
"WR15_GW1","2011-2017","P50",61.19
"WR16_GW1","2011-2017","P50",63.38
"SPLITOAK","2011-2017","P50",66.52
"TB2_GW1","2011-2017","P50",98.63
