; Converted by Corpscon.xls,,,,,,,,,
#H04 1983,,,,,,,,,
#H06 1,,,,,,,,,
#H07 901,,,,,,,,,
#V04 1988,,,,,,,,,
;,,,,,,,,,
Point,Lat/Y,Lon/X,Height,Code,Carry,Carry,Conv,SF,STATION
FF825,1374340.313,523176.592,-1.04,,,,-0.19441268,0.99996145,WR6
FF826,1374340.313,523176.592,-1.04,,,,-0.19441268,0.99996145,WR6_GW1
FF830,1372529.865,521021.255,-1.04,,,,-0.19752211,0.99996211,WR9_GW1
FF831,1363699.07,525384.703,-1.07,,,,-0.1909502,0.99996078,WR11
FF832,1363699.07,525384.703,-1.07,,,,-0.1909502,0.99996078,WR11_GW1
FF833,1362803.719,530392.727,-1.08,,,,-0.18361941,0.99995931,WR15
FF834,1362803.719,530392.727,-1.08,,,,-0.18361941,0.99995931,WR15_GW1
FF835,1361190.213,529670.95,-1.09,,,,-0.18463871,0.99995952,WR16
FF836,1361190.213,529670.95,-1.09,,,,-0.18463871,0.99995952,WR16_GW1
PT431,1495309,483596,-0.87,,,,-0.25580239,0.99997531,TB2_GW1
PT433,1495309,483596,-0.87,,,,-0.25580239,0.99997531,TB2_GW2
NODBKY,,,0,,,,,,SPLITOAK
