"","EMT_ID","rank","theta","Original Status Assessment","Stress","phys","Fu","Fs","mean","sd","theta.logN"
"1","SF-LA","2009-2017_P80",2.49000000000001,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.86162928903051
"2","SF-LB","2009-2017_P80",2.66,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.87130219517581
"3","SF-N1","2009-2017_P80",1.95999999999999,NA,"Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.83085763036376
"4","SF-N2","2009-2017_P80",3.48,NA,"Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.91668906621354
"5","SF-WT","2009-2017_P80",3.408,NA,"Stressed","Plain",0.75,0.25,4.02959107499634,1.48872808689914,2.91278535273306
"6","SF-XZ","2009-2017_P80",3.47000000000001,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.91614779421115
"7","SF-YK","2009-2017_P80",2.69,"Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.87299950817169
"8","SJ-EV","2009-2017_P80",9.99267878787879,"Stressed","Stressed","Ridge",0.678571428571429,0.321428571428571,7.93237681094833,3.30391233714792,9.99267878787879
"9","SJ-LA","2009-2017_P80",1.34699999999999,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.79404439426907
"10","SJ-LB","2009-2017_P80",9.6695465714286,"Stressed","Stressed","Ridge",0.678571428571429,0.321428571428571,7.93237681094833,3.30391233714792,9.6695465714286
"11","SJ-LC","2009-2017_P80",2.344096256684,"Stressed","Stressed","Plain",0.75,0.25,4.02959107499634,1.48872808689914,2.85325217509677
"12","SJ-LD","2009-2017_P80",6.3290562770563,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,6.3290562770563
"13","SJ-LE","2009-2017_P80",10.3401176470588,"Stressed","Stressed","Ridge",0.678571428571429,0.321428571428571,7.93237681094833,3.30391233714792,10.3401176470588
"14","SJ-LF","2009-2017_P80",7.0631578947368,"Stressed","Stressed","Ridge",0.678571428571429,0.321428571428571,7.93237681094833,3.30391233714792,7.0631578947368
"15","SJ-LI","2009-2017_P80",5.98999999999999,"Not Stressed","Stressed","Plain",0.75,0.25,4.02959107499634,1.48872808689914,3.04404613383254
"16","SJ-LJ","2009-2017_P80",5.05690384281,NA,"Stressed","Ridge",0.678571428571429,0.321428571428571,7.93237681094833,3.30391233714792,5.05690384281
"17","SJ-LL","2009-2017_P80",1.804404640077,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.82164103300276
"18","SJ-N1","2009-2017_P80",3.23999999999999,NA,"Stressed","Plain",0.75,0.25,4.02959107499634,1.48872808689914,2.90361698464619
"19","SJ-N2","2009-2017_P80",2.6323269825761,NA,"Stressed","Plain",0.75,0.25,4.02959107499634,1.48872808689914,2.86973397763612
"20","SJ-QA","2009-2017_P80",7.869,"Stressed","Stressed","Ridge",0.678571428571429,0.321428571428571,7.93237681094833,3.30391233714792,7.869
"21","SJ-QB","2009-2017_P80",3.53616942585421,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,3.53616942585421
"22","SJ-QC","2009-2017_P80",8.17085057471269,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,8.17085057471269
"23","SW-AA","2009-2017_P80",1.573333333333,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.80779497797438
"24","SW-JJ","2009-2017_P80",3.96097560975599,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,3.96097560975599
"25","SW-LE","2009-2017_P80",4.82614285714291,"Stressed","Stressed","Plain",0.75,0.25,4.02959107499634,1.48872808689914,2.98700141313014
"26","SW-LG","2009-2017_P80",5.76657142857141,"Stressed","Stressed","Plain",0.75,0.25,4.02959107499634,1.48872808689914,3.03334455101068
"27","SW-LH","2009-2017_P80",4.11840000000001,"Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.95065122211335
"28","SW-LI","2009-2017_P80",2.53130434782611,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.86398810277242
"29","SW-LJ","2009-2017_P80",2.46882352941179,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.86041777954361
"30","SW-LK","2009-2017_P80",2.1964674329502,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.84470398092046
"31","SW-LM","2009-2017_P80",2.09228571428569,"Not Stressed","Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.83862723390029
"32","SW-MM","2009-2017_P80",8.670342857143,"Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,8.670342857143
"33","SW-N1","2009-2017_P80",2.34397402597399,NA,"Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.8532451276762
"34","SW-N2","2009-2017_P80",2.4900261437908,NA,"Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.86163078381446
"35","SW-N3","2009-2017_P80",2.37700000000001,NA,"Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.85514749274012
"36","SW-N4","2009-2017_P80",5.54071428571399,NA,"Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,3.02240897924698
"37","SW-N5","2009-2017_P80",5.33614285714299,NA,"Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,3.01239973926226
"38","SW-N6","2009-2017_P80",5.12900000000002,NA,"Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,3.0021615613189
"39","SW-N7","2009-2017_P80",1.48106015037601,NA,"Not Stressed","Plain",0.75,0.25,2.83713983147055,1.23891847100928,2.80221185192538
"40","SW-N8","2009-2017_P80",5.06399999999999,NA,"Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,5.06399999999999
"41","SW-N9","2009-2017_P80",7.96000000000001,NA,"Stressed","Ridge",0.678571428571429,0.321428571428571,7.93237681094833,3.30391233714792,7.96000000000001
"42","SW-QA","2009-2017_P80",3.2302854851644,"Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,3.2302854851644
"43","SW-QB","2009-2017_P80",2.47496078431369,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,2.47496078431369
"44","SW-QC","2009-2017_P80",4.64999999999999,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,4.64999999999999
"45","SW-QD","2009-2017_P80",1.13884369747899,"Not Stressed","Stressed","Ridge",0.678571428571429,0.321428571428571,7.93237681094833,3.30391233714792,1.13884369747899
"46","SW-QE","2009-2017_P80",1.37860714285699,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,1.37860714285699
"47","SW-QF","2009-2017_P80",2.16133333333329,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,2.16133333333329
"48","SW-QH","2009-2017_P80",0.915714285714301,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,0.915714285714301
"49","SW-QI","2009-2017_P80",5.18924031007749,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,5.18924031007749
"50","SW-QJ","2009-2017_P80",2.368055555556,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,2.368055555556
"51","SW-QK","2009-2017_P80",2.29533333333299,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,2.29533333333299
"52","SW-QL","2009-2017_P80",12.301142857143,"Stressed","Stressed","Ridge",0.678571428571429,0.321428571428571,7.93237681094833,3.30391233714792,12.301142857143
"53","SW-QM","2009-2017_P80",3.59021700879802,"Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,3.59021700879802
"54","SW-QN","2009-2017_P80",2.43763571428599,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,2.43763571428599
"55","SW-QO","2009-2017_P80",2.6192931034483,"Not Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,2.6192931034483
"56","SW-QQ","2009-2017_P80",6.391862433862,"Stressed","Not Stressed","Ridge",0.678571428571429,0.321428571428571,3.9702070123824,2.18949635643063,6.391862433862
